phi_exact,phi_gas,W_gas,kernel_phi,mc_phi,exact_evals,gas_evals,kernel_evals,mc_evals,rmse_gas,mae_gas,rmse_kernel,rmse_mc,sim_cov,mar_cov,sign_cert,mean_width,max_width,status,converged,delta1_coupon,reported_coverage_level,coupon_threshold_satisfied,certificate_at_nominal_level,certificate_is_rigorous,instance,cluster
"[-2.59806979e-02 -2.92635038e-02 -2.55767897e-02 -1.91646521e-02
 -3.37890349e-02  5.59176955e-04 -5.68668030e-03  2.93671037e-04
 -7.59732709e-04  5.55867964e-09 -1.17285747e-03]","[-2.57188952e-02 -2.97660597e-02 -2.75571246e-02 -2.03712897e-02
 -3.22369366e-02  1.07083267e-03 -5.83891206e-03  6.62188374e-04
  7.16033934e-04 -5.86127398e-06 -1.49507122e-03]","[0.28196518 0.46957765 0.36776474 0.38446457 0.27867655 0.33637398
 0.35543666 0.48174554 0.36800961 0.27079064 0.35350172]","[-0.0221218  -0.02942204 -0.02587228 -0.02189654 -0.03556589  0.
 -0.00584904  0.00262244 -0.00122823 -0.00017058 -0.00103715]","[-1.69387212e-02 -2.20845638e-02 -1.56101916e-02 -1.32766185e-02
 -2.16655510e-02  5.65254901e-04 -3.31730641e-03  2.06689918e-04
 -1.29709224e-03  2.02216758e-09 -8.04876243e-04]",2048,1499,256,1662,0.0009913410097392391,0.000758152849237938,0.0016963365550271786,0.006181505425001897,1.0,1.0,0.0,0.3589369844499305,0.48174553517999386,BUDGET_EXHAUSTED,False,59.65297164522118,0.0,False,False,False,0,0
"[-0.00884871 -0.00389753 -0.00271488 -0.05655262 -0.0070776  -0.15069075
 -0.00941357 -0.0214819   0.0151081  -0.00028766 -0.03661238]","[-0.00903046 -0.00434429 -0.00341413 -0.05695192 -0.00787499 -0.14809401
 -0.01193029 -0.02163085  0.01463319 -0.00122629 -0.03260544]","[1.2248801  1.25765232 0.91256938 1.53498446 1.47758801 0.9615624
 1.54339784 1.1711705  0.92500314 1.23417886 1.13181398]","[-0.00846859 -0.0022936  -0.00353397 -0.05245374 -0.01024456 -0.14557315
 -0.01063336 -0.02285373  0.00872016  0.         -0.03513495]","[-0.00586145 -0.00187956 -0.00210687 -0.03625481 -0.00430874 -0.08897141
 -0.00464615 -0.01104425  0.01057388 -0.00013107 -0.02399126]",2048,1495,256,1602,0.0016996827224727696,0.0012006692685772626,0.003057770272183678,0.02034667772194612,1.0,1.0,0.0,1.2158909991991607,1.543397839451016,BUDGET_EXHAUSTED,False,60.89245210121196,0.0,False,False,False,1,1
"[ 3.44261844e-02  3.13835185e-02  2.04368505e-02  5.45895262e-02
  4.69912095e-02  1.72760586e-01 -5.38401405e-02  6.40503404e-02
 -1.90177974e-01  4.45515456e-05 -3.18855996e-01]","[ 0.03374609  0.03104448  0.01908226  0.05336302  0.04527988  0.17619972
 -0.05740397  0.06290847 -0.19103447  0.00118781 -0.31256464]","[2.95991631 3.4301791  2.18811934 2.99932032 3.12706647 2.77372293
 2.22752352 2.95554889 2.20486653 3.53118165 2.97397535]","[ 0.03618194  0.02749199  0.          0.052396    0.05437789  0.16863949
 -0.05943506  0.05276854 -0.17647135  0.01652198 -0.31066276]","[ 2.18433773e-02  1.84691826e-02  1.32888814e-02  3.40006466e-02
  2.86473973e-02  9.60633800e-02  4.25339320e-04  3.82742996e-02
 -6.41446647e-02  5.35005565e-05 -1.17468701e-01]",2048,1350,256,1648,0.002598942769801749,0.0019770452088781728,0.010433068616027783,0.07808471151410551,1.0,1.0,0.0,2.8519473109277653,3.5311816514800247,BUDGET_EXHAUSTED,False,59.60834111833202,0.0,False,False,False,2,2
"[ 1.55724141e-02  1.46316427e-02  1.53125589e-02 -2.08355476e-02
  1.01204454e-02  1.03240182e-02 -2.03335619e-02 -2.76157757e-02
 -2.60075111e-01  1.35226379e-07 -5.00929175e-02]","[ 0.01559831  0.01459072  0.01436717 -0.01930121  0.00954918  0.01223196
 -0.02016362 -0.02940336 -0.25953502 -0.00036678 -0.05055905]","[2.11877488 2.24097829 1.28783531 1.682469   1.30040991 2.10062201
 1.31006588 1.35589741 1.34398046 2.11577406 1.74498022]","[ 0.01758028  0.          0.01778117 -0.02001745  0.01107574  0.01145435
 -0.02497949 -0.02904956 -0.24856756 -0.00468602 -0.04358314]","[ 1.02604190e-02  8.40993238e-03  1.15556569e-02 -1.38046110e-02
  7.57529309e-03  5.51849848e-03 -1.38289927e-02 -1.75492760e-02
 -1.33948791e-01  5.77395051e-08 -2.99527502e-02]",2048,1394,256,1683,0.001003848948909121,0.0007596743940286029,0.006378025657982117,0.03886709874675125,1.0,1.0,0.0,1.6910715835874022,2.2409782917319916,BUDGET_EXHAUSTED,False,58.44476740612977,0.0,False,False,False,3,3
"[-2.28481618e-02 -2.75548756e-02 -2.52710796e-02 -1.14798456e-02
 -4.16794867e-02 -1.32355113e-02 -2.05052677e-02 -8.01861529e-03
 -1.18767156e-02  1.58022353e-05 -3.63522692e-03]","[-0.02219361 -0.02823734 -0.02459226 -0.01181445 -0.03973769 -0.01309874
 -0.02095378 -0.00847674 -0.01284817 -0.00045131 -0.0036849 ]","[0.39591595 0.53095119 0.62848839 0.66989408 0.40010735 0.53775732
 0.40921719 0.50314024 0.39229584 0.52286797 0.60151883]","[-0.01813683 -0.02538117 -0.02946938 -0.00764899 -0.04313581 -0.01668218
 -0.0193609  -0.01194201 -0.01114475  0.         -0.00318697]","[-1.52715734e-02 -1.87410684e-02 -1.71019254e-02 -6.50436284e-03
 -2.59564056e-02 -9.87815540e-03 -1.47468720e-02 -6.11979085e-03
 -9.35441689e-03  1.00769543e-05 -1.64023209e-03]",2048,1473,256,1632,0.0007880718410564451,0.0006203512097987802,0.002870901154940669,0.006955522316509217,1.0,1.0,0.0,0.5083776666170994,0.6698940781012734,BUDGET_EXHAUSTED,False,60.273207435954916,0.0,False,False,False,4,0
"[ 0.02657495  0.02343298  0.0065784   0.22045841  0.05238903 -0.01701958
  0.23288681  0.22041749  0.03908643 -0.00574523 -0.02136971]","[ 0.02831677  0.02474743  0.00829707  0.21781406  0.05094604 -0.02299168
  0.23330399  0.21853953  0.04242843 -0.00201591 -0.02169575]","[3.71091227 3.76783503 2.96388568 3.97850325 3.06685691 4.08703951
 3.11809543 4.88847764 5.23233481 4.15098708 4.17108006]","[ 0.03981206  0.01896984 -0.03132707  0.21823049  0.05956838  0.
  0.24221034  0.19732936  0.02588895 -0.00623395  0.01324158]","[ 0.00803407  0.00633527  0.00272075  0.06097959  0.01020296 -0.04196175
  0.08154311  0.08093942  0.03516916 -0.00299957 -0.01434975]",2048,1367,256,1674,0.002719296140284567,0.00222971822743519,0.018998760124245014,0.08029347281566229,1.0,1.0,0.0,3.9214552412530637,5.232334810217861,BUDGET_EXHAUSTED,False,62.80444880004542,0.0,False,False,False,5,1
"[0.02700306 0.0233477  0.00933484 0.07261124 0.02398587 0.24474866
 0.0468243  0.04818442 0.11969608 0.         0.08168837]","[ 0.02725759  0.02247757  0.00933304  0.07455373  0.02225012  0.24378005
  0.04847161  0.04890482  0.11748744 -0.00091103  0.08381961]","[1.47429066 1.33018098 1.08299867 1.47964233 1.75594938 1.52666945
 1.76324856 1.3243467  1.08539773 1.33470966 1.52899927]","[ 0.03008136  0.03308012 -0.0020821   0.08853334  0.02600368  0.22756635
  0.04653129  0.05296103  0.11761187  0.          0.07713759]","[0.01755373 0.01473603 0.00590476 0.04412352 0.01081559 0.13631065
 0.02808101 0.03034135 0.06878791 0.         0.05745891]",2048,1445,256,1640,0.001415150357564807,0.001217450987750683,0.008714223841514214,0.03904242535699074,1.0,1.0,0.0,1.4260393985909385,1.763248557882045,BUDGET_EXHAUSTED,False,60.3902230495865,0.0,False,False,False,6,2
"[-5.62695916e-02 -5.69048015e-02 -6.68507462e-02 -4.00470847e-02
 -5.46683139e-02 -9.65927358e-05  1.27907728e-02 -2.28330082e-02
  2.38790692e-02  1.48969477e-05 -5.22309621e-02]","[-0.05553445 -0.05573471 -0.06798476 -0.0386842  -0.05787069 -0.0011661
  0.01293788 -0.02161078  0.02336728 -0.00074765 -0.05018817]","[1.33995699 1.25683523 2.13254363 1.2991149  1.69993057 1.57556993
 1.76443997 1.97681031 1.70644562 1.74099322 1.56329703]","[-0.06013716 -0.0495639  -0.05414943 -0.0390026  -0.06089213  0.
  0.01246319 -0.02663853  0.01913756 -0.00657349 -0.04785987]","[-3.71414376e-02 -3.93788520e-02 -4.66148141e-02 -2.68843033e-02
 -3.41578462e-02  1.40678759e-03  1.12073835e-02 -1.56207077e-02
  1.54299417e-02  7.72939277e-06 -3.49322652e-02]",2048,1533,256,1619,0.0014454918402446555,0.0012145872443634065,0.00579647967616054,0.013829788349839943,1.0,1.0,0.0,1.6414488543990216,2.1325436344068085,BUDGET_EXHAUSTED,False,62.24618565507777,0.0,False,False,False,7,3
"[-7.78359014e-02 -8.54775459e-03  7.96053808e-02 -3.42298617e-02
 -1.98109065e-02  4.00872972e-02  7.00635621e-02 -2.62146896e-02
  2.64008630e-03  7.64765460e-05 -1.10420306e-02]","[-0.07924953 -0.00736625  0.08222763 -0.03281993 -0.01986064  0.04094931
  0.06744003 -0.02737828  0.00159376  0.0001404  -0.01088481]","[1.13128558 0.96195223 1.03099134 0.76673178 1.01651615 0.93022399
 0.8011644  1.04153968 1.11768797 1.23045761 1.04253336]","[-0.07819631 -0.01568637  0.08778004 -0.03682034 -0.02027133  0.04282132
  0.07423606 -0.02148012  0.         -0.00576734 -0.01182395]","[-3.63526459e-02 -6.18062541e-03  3.58670521e-02 -1.14687507e-02
 -9.10725612e-03  7.93027365e-03  2.92620353e-02  1.64419554e-03
  1.01685624e-02  2.57300542e-05 -3.78113123e-04]",2048,1364,256,1664,0.0014258770150590576,0.001144876510192491,0.004409388161038113,0.026828575982373638,1.0,1.0,0.0,1.0064621889368126,1.2304576054101142,BUDGET_EXHAUSTED,False,63.42467138386504,0.0,False,False,False,8,0
"[ 2.36264242e-03  1.09003027e-03  1.21020506e-03 -2.56058208e-02
  7.04485308e-04 -1.38165730e-01 -2.86504032e-02 -3.04204530e-02
 -4.89743355e-03 -2.48089996e-05 -1.20280818e-02]","[ 0.00329789  0.00117661  0.00112154 -0.02611619  0.00031606 -0.1391246
 -0.0299891  -0.02794865 -0.00567112 -0.00027966 -0.01120816]","[1.31736474 0.8018351  1.33754005 1.0857861  1.09787385 1.04663102
 0.82765815 1.06094264 1.29998245 0.79144598 0.81006216]","[ 0.00311675 -0.0004001   0.         -0.02607144  0.00080084 -0.13959382
 -0.02872296 -0.02756952 -0.00462272 -0.00041371 -0.01094869]","[ 1.72521734e-03  8.13445348e-04  7.12954335e-04 -1.53638059e-02
  4.96614492e-04 -8.65090317e-02 -1.96355525e-02 -2.12749867e-02
 -1.37276623e-03 -1.94957612e-05 -9.06629534e-03]",2048,1525,256,1643,0.0010206304786643603,0.0007842832425873747,0.0012077097985635796,0.016404514851145933,1.0,1.0,0.0,1.0433747488375,1.3375400478218666,BUDGET_EXHAUSTED,False,60.327844727853495,0.0,False,False,False,9,1
